Year,Algorithm,OpenETirrigationLEMA_m3
2017,disalexi,2699911.9
2017,eemetric,8590703.5
2017,ensemble,5140349.3
2017,geesebal,1247841.4
2017,ptjpl,4343544.4
2017,sims,21971056
2017,ssebop,3851020
2018,disalexi,17984744.3
2018,eemetric,20511704.2
2018,ensemble,16436642.4
2018,geesebal,10021435.2
2018,ptjpl,12739445.5
2018,sims,30034515.7
2018,ssebop,12847390.7
2019,disalexi,65575.8
2019,eemetric,3167165.6
2019,ensemble,280677.8
2019,geesebal,276.5
2019,ptjpl,64151.4
2019,sims,11477930.1
2019,ssebop,749008.2
2020,disalexi,39998526.1
2020,eemetric,56921938.5
2020,ensemble,46545393
2020,geesebal,40901921.6
2020,ptjpl,44814324.1
2020,sims,58664945.5
2020,ssebop,44244304.5
