Algorithm,Bias_prc,MAE_mm,R2,slope,time
disalexi,1.9,85.40904207271261,0.47934391039936153,0.831546545395229,NA
eemetric,27.7,125.6115225094054,0.4556459617665336,0.5948223622080204,NA
ensemble,4.9,80.74261291436466,0.53439781105967,0.8817267008626016,NA
geesebal,-34,136.46939029470394,0.45918218601229305,0.7886726070959694,NA
ptjpl,-11.9,95.16296250847097,0.41071267036243975,0.956205473395907,NA
sims,47.5,182.21307654692714,0.3712710423438236,0.8135393332187423,NA
ssebop,10.8,96.04060231407759,0.4714560007834736,0.6503288542176737,NA
disalexi,-1.5,51.90697581849815,0.7053277792952083,1.184050794249079,Average
eemetric,22.7,93.02087962571383,0.663637393753917,0.8778485381436384,Average
ensemble,1.6,48.49317922856962,0.7410809733395852,1.2151645336065129,Average
geesebal,-35.2,125.70205506341324,0.7253824739055652,1.3100706798388053,Average
ptjpl,-13.3,69.48802591248321,0.598675152161471,1.3824169820843717,Average
sims,41.8,158.1369995815305,0.4676052103955513,0.9857269134616607,Average
ssebop,6.5,51.88567581308106,0.7567372877007906,1.0332496319246298,Average
