Year,Algorithm,irr_m3_fromPrec_total,irr_m3_fromPrec_shifted_total,irr_m3_fromPrec_shifted_scaled_total,n_fields,Irr_m3_WIMAS
2016,disalexi,10899280.895592712,34250836.846859686,32359689.60201075,458,23654075.23443979
2016,eemetric,48166923.65200845,46633508.921827115,32282320.437451456,458,23654075.23443979
2016,ensemble,34657680.169421285,41854378.09031875,32123494.391075496,458,23654075.23443979
2016,geesebal,18552197.111187216,39745361.60343327,32060860.94167434,458,23654075.23443979
2016,ptjpl,28325718.01848866,39902829.9604981,31494416.155122854,458,23654075.23443979
2016,sims,49804016.860813916,41048615.83108849,29245875.796438586,458,23654075.23443979
2016,ssebop,69153103.22704133,50989289.35903999,32449053.193007007,458,23654075.23443979
2017,disalexi,1539675.6488879262,18700265.404454578,30070933.41115758,410,18518428.443049703
2017,eemetric,25401453.993429605,23960334.985206172,30496906.324372347,410,18518428.443049703
2017,ensemble,10957101.73430545,17620454.593199927,30072938.38017169,410,18518428.443049703
2017,geesebal,1164046.8770429525,15687713.255587103,30512066.889836412,410,18518428.443049703
2017,ptjpl,6186164.972370497,16622300.966227746,29724580.854771547,410,18518428.443049703
2017,sims,28895717.54259314,20641830.057907194,29018372.8471521,410,18518428.443049703
2017,ssebop,38486116.167829156,21441983.737377662,30516588.36364164,410,18518428.443049703
2018,disalexi,13453928.553108625,38249172.178715415,33687354.763039835,548,20589757.188864265
2018,eemetric,32661853.566003647,31063924.895365555,34245597.30603641,548,20589757.188864265
2018,ensemble,25797455.19010132,33296933.130008463,34219208.95996143,548,20589757.188864265
2018,geesebal,12376292.002464525,34412736.872194216,34371556.77576723,548,20589757.188864265
2018,ptjpl,18294160.97089384,30358346.04177538,33987308.71095416,548,20589757.188864265
2018,sims,36926420.02858728,27802661.10481716,33524719.836497862,548,20589757.188864265
2018,ssebop,51581246.64018156,32653432.477506865,34732780.82561585,548,20589757.188864265
2019,disalexi,162125.28804287786,13832306.58692697,31827300.468797065,515,13997836.430191347
2019,eemetric,8088697.59053071,6926920.199223951,32526096.480140362,515,13997836.430191347
2019,ensemble,2159247.25940089,6904160.516992768,32273975.915836222,515,13997836.430191347
2019,geesebal,5839.867456897011,5337820.995016484,31738679.135335904,515,13997836.430191347
2019,ptjpl,276286.05154034094,6338744.975481577,31693298.71862506,515,13997836.430191347
2019,sims,19068755.95118157,10349926.569861261,32016444.753760763,515,13997836.430191347
2019,ssebop,20748853.061400045,5176177.016251324,32580631.061973646,515,13997836.430191347
2020,disalexi,34533268.240311414,59474225.47082846,34282871.65642369,579,28599029.30124685
2020,eemetric,72065687.89329441,70464456.00002363,34834652.69322294,579,28599029.30124685
2020,ensemble,57581080.89476882,65096061.68265634,34438757.70400471,579,28599029.30124685
2020,geesebal,46030083.07901834,68232423.75860816,34436279.241782576,579,28599029.30124685
2020,ptjpl,51982754.94070488,64071878.977826424,33744829.64036363,579,28599029.30124685
2020,sims,68075895.99930373,58933276.52967451,33968711.48525418,579,28599029.30124685
2020,ssebop,88677433.19779027,69710302.19505218,35002595.19572019,579,28599029.30124685
